Enterprise,
Jonared,
Snow,
SweeTango,
"Buckeye Gala",
Eden,
King,
"Pink Lady","Diploid. Self sterile."
Honeycrisp,
"Red Delicious","Diploid. Self-sterile."
Rouville,
Lady,
"Winter Banana","Diploid. Self sterile."
"Golden Reinette","Diploid. Self sterile."
Shizuka,
Shizuka,
Lyons,
Gala,
"Johannes Böttner","Diploid. Self fertile but bears best crops in proximity to a suitable source of pollen."
Jonasty,
"Lord Lambourne","Partially self fertile."
"Red Astrachan","Diploid. Self sterile."
Blaxtayman,
Spencer,
Liberty,
Charlotte,
Galarina,
"Geneva Ontario",
Monroe,
Porter,
"Orléans",
Longfield,
Erickson,
Chinook,
Honora,
"Ikorocavka Alaja",
"Lyman Prolific",
"Rouge Belle de Boskoop",
Redwell,
Haralson,
Minnehaha,
Beacon,
Oriole,
Lakeland,
Fireside,
"Brown's Apple",
"Cotton Candy",
Evangeline,
Masonova,"Diploid. Self sterile."
Rubinette,
Antonovka,
Djulabia,Diploid
"Yellow Delicious",
